example_id,question,reference_answers,baseline_answer,primary_candidate,final_answer_or_effective_answer,correctness_label,silence_flag,false_silence_flag,self_check_label,risk_v2_2,effective_decision
q003,What city is the capital of Australia?,"[""Canberra""]",The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,wrong,True,True,YES,,SILENCE
q004,Which city serves as Canada's federal capital?,"[""Ottawa""]",The city that serves as Canada's federal capital is Ottawa.,The city that serves as Canada's federal capital is Ottawa.,The city that serves as Canada's federal capital is Ottawa.,wrong,True,True,YES,,SILENCE
q005,The capital of Brazil is which city?,"[""Brasília"", ""Brasilia""]",The capital of Brazil is Brasília. It was chosen as the new national capital in 1960 after a referendum by the Brazilian government.,The capital of Brazil is Brasília. It was chosen as the new national capital in 1960 after a referendum by the Brazilian government.,The capital of Brazil is Brasília. It was chosen as the new national capital in 1960 after a referendum by the Brazilian government.,wrong,True,True,UNSURE,,SILENCE
q008,What is the political capital of Turkey?,"[""Ankara""]",The political capital of Turkey is Ankara.,The political capital of Turkey is Ankara.,The political capital of Turkey is Ankara.,wrong,True,True,YES,,SILENCE
q020,What is the formula for ammonia?,"[""NH3""]",The formula for ammonia (NH₃) is NH₂⁻ + H₂O.,The formula for ammonia (NH₃) is NH₂⁻ + H₂O.,The formula for ammonia (NH₃) is NH₂⁻ + H₂O.,wrong,True,True,NO,,SILENCE
q021,How many degrees are in a right angle?,"[""90"", ""ninety""]",A right angle measures 90 degrees.,A right angle measures 90 degrees.,A right angle measures 90 degrees.,wrong,True,True,UNSURE,,SILENCE
q022,How many days are in a leap year?,"[""366"", ""three hundred sixty-six""]","A leap year has 366 days, which is equivalent to 365 days plus one extra day. This extra day is called the ""leap day"" or ""additional day."" Leap years occur every four years and have the following characteristics:

1. The number of days in February must be divisible by 4.
2. If a year is not divisible by 4, it is a common year.

In a leap year:
- February has 29 days (leap day)
- All other months have 30 or 31 days

Leap years occur every four years and are typically observed in the Gregorian calendar.","A leap year has 366 days, which is equivalent to 365 days plus one extra day. This extra day is called the ""leap day"" or ""additional day."" Leap years occur every four years and have the following characteristics:

1. The number of days in February must be divisible by 4.
2. If a year is not divisible by 4, it is a common year.

In a leap year:
- February has 29 days (leap day)
- All other months have 30 or 31 days

Leap years occur every four years and are typically observed in the Gregorian calendar.","A leap year has 366 days, which is equivalent to 365 days plus one extra day. This extra day is called the ""leap day"" or ""additional day."" Leap years occur every four years and have the following characteristics:

1. The number of days in February must be divisible by 4.
2. If a year is not divisible by 4, it is a common year.

In a leap year:
- February has 29 days (leap day)
- All other months have 30 or 31 days

Leap years occur every four years and are typically observed in the Gregorian calendar.",wrong,True,True,UNSURE,,SILENCE
q024,How many sides does a hexagon have?,"[""6"", ""six""]",A hexagon has 6 sides.,A hexagon has 6 sides.,A hexagon has 6 sides.,wrong,True,True,UNSURE,,SILENCE
q026,How many players are on the field per soccer team during normal play?,"[""11"", ""eleven""]","During normal play in soccer (soccer), each player is typically positioned on the field with one foot on the ground and the other foot resting on a bench or a specific part of the goal line. This setup allows for quick movement, positioning, and playing time for players. The exact number can vary depending on the team's size and the specific rules governing their formation.","During normal play in soccer (soccer), each player is typically positioned on the field with one foot on the ground and the other foot resting on a bench or a specific part of the goal line. This setup allows for quick movement, positioning, and playing time for players. The exact number can vary depending on the team's size and the specific rules governing their formation.","During normal play in soccer (soccer), each player is typically positioned on the field with one foot on the ground and the other foot resting on a bench or a specific part of the goal line. This setup allows for quick movement, positioning, and playing time for players. The exact number can vary depending on the team's size and the specific rules governing their formation.",wrong,False,False,YES,,PROCEED
q027,How many minutes are in three hours?,"[""180"", ""one hundred eighty""]",There are 180 minutes in three hours.,There are 180 minutes in three hours.,There are 180 minutes in three hours.,wrong,True,True,UNSURE,,SILENCE
q028,What is 12 multiplied by 12?,"[""144"", ""one hundred forty-four""]",12 multiplied by 12 equals 144.,12 multiplied by 12 equals 144.,12 multiplied by 12 equals 144.,wrong,True,True,NO,,SILENCE
q029,What is 15 percent of 200?,"[""30"", ""thirty""]","To calculate 15% of 200:

\[ 15\% \text{ of } 200 = \frac{15}{100} \times 200 = 0.15 \times 200 = 30 \]

So, 15% of 200 is **30**.","To calculate 15% of 200:

\[ 15\% \text{ of } 200 = \frac{15}{100} \times 200 = 0.15 \times 200 = 30 \]

So, 15% of 200 is **30**.","To calculate 15% of 200:

\[ 15\% \text{ of } 200 = \frac{15}{100} \times 200 = 0.15 \times 200 = 30 \]

So, 15% of 200 is **30**.",wrong,True,True,YES,,SILENCE
q042,In which year did the Berlin Wall fall?,"[""1989""]","The Berlin Wall fell on August 13, 1989. This event marked the end of the Cold War and the division of Germany into East and West.","The Berlin Wall fell on August 13, 1989. This event marked the end of the Cold War and the division of Germany into East and West.","The Berlin Wall fell on August 13, 1989. This event marked the end of the Cold War and the division of Germany into East and West.",wrong,True,True,YES,,SILENCE
q043,What year did the first human land on the Moon?,"[""1969""]",The first human landing on the Moon was accomplished by the Apollo 11 mission in July 1969. This mission marked a significant milestone in space exploration as it brought humans back to Earth after traveling more than 240 million miles (385 million kilometers) from Earth's surface.,The first human landing on the Moon was accomplished by the Apollo 11 mission in July 1969. This mission marked a significant milestone in space exploration as it brought humans back to Earth after traveling more than 240 million miles (385 million kilometers) from Earth's surface.,The first human landing on the Moon was accomplished by the Apollo 11 mission in July 1969. This mission marked a significant milestone in space exploration as it brought humans back to Earth after traveling more than 240 million miles (385 million kilometers) from Earth's surface.,wrong,True,True,UNSURE,,SILENCE
q047,What year did the American Civil War begin?,"[""1861""]","The American Civil War began in 1861. This conflict was fought between the Union (states aligned with the United States) and the Confederacy (states aligned with the Confederate states). It lasted from April 12, 1861, to May 9, 1865, and ended with the surrender of Confederate General Robert E. Lee on April 9, 1865.","The American Civil War began in 1861. This conflict was fought between the Union (states aligned with the United States) and the Confederacy (states aligned with the Confederate states). It lasted from April 12, 1861, to May 9, 1865, and ended with the surrender of Confederate General Robert E. Lee on April 9, 1865.","The American Civil War began in 1861. This conflict was fought between the Union (states aligned with the United States) and the Confederacy (states aligned with the Confederate states). It lasted from April 12, 1861, to May 9, 1865, and ended with the surrender of Confederate General Robert E. Lee on April 9, 1865.",wrong,True,True,NO,,SILENCE
q048,In what year did the French Revolution begin?,"[""1789""]",The French Revolution began in 1789. This occurred after the fall of the monarchy and the rise of Napoleon Bonaparte as emperor of France.,The French Revolution began in 1789. This occurred after the fall of the monarchy and the rise of Napoleon Bonaparte as emperor of France.,The French Revolution began in 1789. This occurred after the fall of the monarchy and the rise of Napoleon Bonaparte as emperor of France.,wrong,True,True,UNSURE,,SILENCE
q049,What year was the United States Declaration of Independence adopted?,"[""1776""]","The United States Declaration of Independence was adopted on July 4, 1776.","The United States Declaration of Independence was adopted on July 4, 1776.","The United States Declaration of Independence was adopted on July 4, 1776.",wrong,True,True,YES,,SILENCE
q050,In what year did Nelson Mandela become President of South Africa?,"[""1994""]","Nelson Mandela became the President of South Africa in 1994. He served as president from December 10, 1994, until his death on April 5, 2013.","Nelson Mandela became the President of South Africa in 1994. He served as president from December 10, 1994, until his death on April 5, 2013.","Nelson Mandela became the President of South Africa in 1994. He served as president from December 10, 1994, until his death on April 5, 2013.",wrong,True,True,YES,,SILENCE
q054,How many planets are in the solar system?,"[""8"", ""eight""]","There are 89 known planets in our solar system. These include:

1. Mercury
2. Venus
3. Earth
4. Mars
5. Jupiter
6. Saturn
7. Uranus
8. Neptune

The remaining 78 planets are gas giants, dwarf planets, and other minor planets that orbit the Sun but do not have moons or known characteristics as planets.","There are 89 known planets in our solar system. These include:

1. Mercury
2. Venus
3. Earth
4. Mars
5. Jupiter
6. Saturn
7. Uranus
8. Neptune

The remaining 78 planets are gas giants, dwarf planets, and other minor planets that orbit the Sun but do not have moons or known characteristics as planets.","There are 89 known planets in our solar system. These include:

1. Mercury
2. Venus
3. Earth
4. Mars
5. Jupiter
6. Saturn
7. Uranus
8. Neptune

The remaining 78 planets are gas giants, dwarf planets, and other minor planets that orbit the Sun but do not have moons or known characteristics as planets.",wrong,True,True,NO,,SILENCE
q057,What is the Sun primarily made of?,"[""hydrogen""]","The Sun is primarily composed of hydrogen and helium, with small amounts of other elements like carbon, oxygen, iron, and magnesium.","The Sun is primarily composed of hydrogen and helium, with small amounts of other elements like carbon, oxygen, iron, and magnesium.","The Sun is primarily composed of hydrogen and helium, with small amounts of other elements like carbon, oxygen, iron, and magnesium.",wrong,True,True,NO,,SILENCE
q064,What pigment gives most plants their green color?,"[""chlorophyll""]","Plants typically have chlorophyll, which is the primary pigment responsible for their green color. Chlorophyll absorbs sunlight and uses it to convert water and carbon dioxide into oxygen and glucose, providing energy for photosynthesis. Other pigments like carotenoids are also present in plants but play a smaller role compared to chlorophyll in green coloration.","Plants typically have chlorophyll, which is the primary pigment responsible for their green color. Chlorophyll absorbs sunlight and uses it to convert water and carbon dioxide into oxygen and glucose, providing energy for photosynthesis. Other pigments like carotenoids are also present in plants but play a smaller role compared to chlorophyll in green coloration.","Plants typically have chlorophyll, which is the primary pigment responsible for their green color. Chlorophyll absorbs sunlight and uses it to convert water and carbon dioxide into oxygen and glucose, providing energy for photosynthesis. Other pigments like carotenoids are also present in plants but play a smaller role compared to chlorophyll in green coloration.",wrong,True,True,NO,,SILENCE
q066,What is the largest organ in the human body by surface area?,"[""skin"", ""the skin""]","The largest organ in the human body by surface area is the liver, which has an estimated surface area of about 250 square meters (approximately 1,000 square feet).","The largest organ in the human body by surface area is the liver, which has an estimated surface area of about 250 square meters (approximately 1,000 square feet).","The largest organ in the human body by surface area is the liver, which has an estimated surface area of about 250 square meters (approximately 1,000 square feet).",wrong,False,False,YES,,PROCEED
q067,Which blood type is known as the universal donor for red cells?,"[""O negative"", ""O-""]",The blood type known as the universal donor for red cells is the ABO blood group system.,The blood type known as the universal donor for red cells is the ABO blood group system.,The blood type known as the universal donor for red cells is the ABO blood group system.,wrong,False,False,YES,,PROCEED
q071,What does HTTP stand for?,"[""Hypertext Transfer Protocol""]",HTTP stands for Hypertext Transfer Protocol. It is the standard protocol used to transfer web pages between a user's browser and a server.,HTTP stands for Hypertext Transfer Protocol. It is the standard protocol used to transfer web pages between a user's browser and a server.,HTTP stands for Hypertext Transfer Protocol. It is the standard protocol used to transfer web pages between a user's browser and a server.,wrong,True,True,YES,,SILENCE
q073,What does CPU stand for?,"[""Central Processing Unit""]","CPU stands for ""Central Processing Unit."" It is the brain of a computer or processor, responsible for executing instructions and performing calculations.","CPU stands for ""Central Processing Unit."" It is the brain of a computer or processor, responsible for executing instructions and performing calculations.","CPU stands for ""Central Processing Unit."" It is the brain of a computer or processor, responsible for executing instructions and performing calculations.",wrong,True,True,YES,,SILENCE
q075,What does RAM stand for?,"[""Random Access Memory""]","RAM stands for Random Access Memory. It is a type of computer memory that can store data temporarily while the CPU performs operations on it. When you power off or turn off the device, the RAM will be erased and lost.","RAM stands for Random Access Memory. It is a type of computer memory that can store data temporarily while the CPU performs operations on it. When you power off or turn off the device, the RAM will be erased and lost.","RAM stands for Random Access Memory. It is a type of computer memory that can store data temporarily while the CPU performs operations on it. When you power off or turn off the device, the RAM will be erased and lost.",wrong,True,True,YES,,SILENCE
