example_id,question,reference_answers,baseline_answer,primary_candidate,final_answer_or_effective_answer,correctness_label,silence_flag,false_silence_flag,self_check_label,risk_v2_2,effective_decision
q010,What is the capital of Japan?,"[""Tokyo""]",Tokyo.,Tokyo.,Tokyo.,wrong,True,True,YES,,SILENCE
q015,What currency is used in Germany?,"[""Euro""]","Germany uses the euro (€), which has been its official currency since 2002.","Germany uses the euro (€), which has been its official currency since 2002.","Germany uses the euro (€), which has been its official currency since 2002.",wrong,True,True,YES,,SILENCE
q017,Who was the first President of the United States?,"[""George Washington""]",George Washington.,George Washington.,George Washington.,wrong,True,True,YES,,SILENCE
q019,What is the capital of Canada?,"[""Ottawa""]",Ottawa.,Ottawa.,Ottawa.,wrong,True,True,YES,,SILENCE
q023,What is the largest desert in the world?,"[""Sahara""]",The largest desert in the world is Antarctica. It covers about 14 million square kilometers (5.4 million square miles) and is classified as a cold desert due to its extremely low precipitation.,The largest desert in the world is Antarctica. It covers about 14 million square kilometers (5.4 million square miles) and is classified as a cold desert due to its extremely low precipitation.,The largest desert in the world is Antarctica. It covers about 14 million square kilometers (5.4 million square miles) and is classified as a cold desert due to its extremely low precipitation.,wrong,False,False,YES,,PROCEED
q027,Who wrote 'The Iliad' and 'The Odyssey'?,"[""Homer""]","The Iliad and The Odyssey are traditionally attributed to Homer, though modern scholarship suggests they may have been composed by multiple authors or a collective. The most widely accepted answer is Homer.","The Iliad and The Odyssey are traditionally attributed to Homer, though modern scholarship suggests they may have been composed by multiple authors or a collective. The most widely accepted answer is Homer.","The Iliad and The Odyssey are traditionally attributed to Homer, though modern scholarship suggests they may have been composed by multiple authors or a collective. The most widely accepted answer is Homer.",wrong,True,True,YES,,SILENCE
q037,Who wrote the 'Harry Potter' series?,"[""J.K. Rowling""]",J.K. Rowling.,J.K. Rowling.,J.K. Rowling.,wrong,True,True,YES,,SILENCE
q046,Which planet is known as the Red Planet?,"[""Mars""]","Mars is known as the Red Planet due to its reddish appearance, caused by iron oxide (rust) on its surface.","Mars is known as the Red Planet due to its reddish appearance, caused by iron oxide (rust) on its surface.","Mars is known as the Red Planet due to its reddish appearance, caused by iron oxide (rust) on its surface.",wrong,True,True,YES,,SILENCE
q055,Which element has the chemical symbol 'Fe'?,"[""Iron""]",Iron.,Iron.,Iron.,wrong,True,True,YES,,SILENCE
q060,Which planet has the most moons?,"[""Saturn""]","Saturn has the most moons, with 83 confirmed as of now.","Saturn has the most moons, with 83 confirmed as of now.","Saturn has the most moons, with 83 confirmed as of now.",wrong,True,True,NO,,SILENCE
q062,What is the chemical formula for carbon dioxide?,"[""CO2""]",CO₂,CO₂,CO₂,wrong,True,True,YES,,SILENCE
q064,Who discovered electricity?,"[""Benjamin Franklin""]","Electricity is a natural phenomenon, not discovered by a single individual. Early observations date back to ancient times, such as Thales of Miletus (circa 600 BCE) noting static electricity. Key scientific advancements were made by figures like Benjamin Franklin, Alessandro Volta, Michael Faraday, and James Clerk Maxwell, who studied its properties and applications. No single person ""discovered"" electricity.","Electricity is a natural phenomenon, not discovered by a single individual. Early observations date back to ancient times, such as Thales of Miletus (circa 600 BCE) noting static electricity. Key scientific advancements were made by figures like Benjamin Franklin, Alessandro Volta, Michael Faraday, and James Clerk Maxwell, who studied its properties and applications. No single person ""discovered"" electricity.","Electricity is a natural phenomenon, not discovered by a single individual. Early observations date back to ancient times, such as Thales of Miletus (circa 600 BCE) noting static electricity. Key scientific advancements were made by figures like Benjamin Franklin, Alessandro Volta, Michael Faraday, and James Clerk Maxwell, who studied its properties and applications. No single person ""discovered"" electricity.",wrong,True,True,YES,,SILENCE
q067,What is the capital of South Africa?,"[""Pretoria""]",Pretoria.,Pretoria.,Pretoria.,wrong,True,True,YES,,SILENCE
q073,Who invented the telephone?,"[""Alexander Graham Bell""]","Alexander Graham Bell is widely credited with inventing the telephone, though there is historical debate involving other inventors like Antonio Meucci and Elisha Gray.","Alexander Graham Bell is widely credited with inventing the telephone, though there is historical debate involving other inventors like Antonio Meucci and Elisha Gray.","Alexander Graham Bell is widely credited with inventing the telephone, though there is historical debate involving other inventors like Antonio Meucci and Elisha Gray.",wrong,True,True,YES,,SILENCE
q096,Who wrote 'Frankenstein'?,"[""Mary Shelley""]",Mary Shelley.,Mary Shelley.,Mary Shelley.,wrong,True,True,YES,,SILENCE
q098,What is the capital of the Netherlands?,"[""Amsterdam""]",Amsterdam.,Amsterdam.,Amsterdam.,wrong,True,True,NO,,SILENCE
