example_id,threshold,question,reference_answers,baseline_answer,primary_candidate,final_answer_or_effective_answer,normalized_reference_answers,normalized_final_answer,correctness_label,silence_flag,false_silence_flag,self_check_label,contradiction_label,semantic_agreement_score,drift,coherence,instability_v1,risk_v2,risk_v2_1,risk_v2_2,self_check_no_override_applied,decision_v1,decision_v2,decision_v2_1,decision_v2_2,effective_decision
q001,0.34999999999999998,What is the capital of France?,"[""Paris""]",Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,"[""paris""]",paris is the capital of france,correct,False,False,YES,,0.5555555555555555,0.39450113969075795,0.6666666666666669,0.36391723651204555,0.2789002279381516,,,,SILENCE,PROCEED,,,PROCEED
q001,0.39000000000000001,What is the capital of France?,"[""Paris""]",Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,"[""paris""]",paris is the capital of france,correct,False,False,YES,,0.5555555555555555,0.39450113969075795,0.6666666666666669,0.36391723651204555,0.2789002279381516,,,,PROCEED,PROCEED,,,PROCEED
q001,0.41999999999999998,What is the capital of France?,"[""Paris""]",Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,"[""paris""]",paris is the capital of france,correct,False,False,YES,,0.5555555555555555,0.39450113969075795,0.6666666666666669,0.36391723651204555,0.2789002279381516,,,,PROCEED,PROCEED,,,PROCEED
q001,0.42999999999999999,What is the capital of France?,"[""Paris""]",Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,"[""paris""]",paris is the capital of france,correct,False,False,YES,,0.5555555555555555,0.39450113969075795,0.6666666666666669,0.36391723651204555,0.2789002279381516,,,,PROCEED,PROCEED,,,PROCEED
q002,0.34999999999999998,Who wrote 'One Hundred Years of Solitude'?,"[""Gabriel García Márquez""]",Gabriel García Márquez.,Gabriel García Márquez.,Gabriel García Márquez.,"[""gabriel garc a m rquez""]",gabriel garc a m rquez,correct,False,False,YES,,1.0,0.0,0.0,0.5,0.2,,,,SILENCE,PROCEED,,,PROCEED
q002,0.39000000000000001,Who wrote 'One Hundred Years of Solitude'?,"[""Gabriel García Márquez""]",Gabriel García Márquez.,Gabriel García Márquez.,Gabriel García Márquez.,"[""gabriel garc a m rquez""]",gabriel garc a m rquez,correct,False,False,YES,,1.0,0.0,0.0,0.5,0.2,,,,SILENCE,PROCEED,,,PROCEED
q002,0.41999999999999998,Who wrote 'One Hundred Years of Solitude'?,"[""Gabriel García Márquez""]",Gabriel García Márquez.,Gabriel García Márquez.,Gabriel García Márquez.,"[""gabriel garc a m rquez""]",gabriel garc a m rquez,correct,False,False,YES,,1.0,0.0,0.0,0.5,0.2,,,,SILENCE,PROCEED,,,PROCEED
q002,0.42999999999999999,Who wrote 'One Hundred Years of Solitude'?,"[""Gabriel García Márquez""]",Gabriel García Márquez.,Gabriel García Márquez.,Gabriel García Márquez.,"[""gabriel garc a m rquez""]",gabriel garc a m rquez,correct,False,False,YES,,1.0,0.0,0.0,0.5,0.2,,,,SILENCE,PROCEED,,,PROCEED
q003,0.34999999999999998,What is the largest planet in our solar system?,"[""Jupiter""]",Jupiter.,Jupiter.,Jupiter.,"[""jupiter""]",jupiter,wrong,True,True,YES,,0.40740740740740744,0.5095318264029893,0.30151134457776363,0.6040102409126129,0.4193818741428229,,,,SILENCE,SILENCE,,,SILENCE
q003,0.39000000000000001,What is the largest planet in our solar system?,"[""Jupiter""]",Jupiter.,Jupiter.,Jupiter.,"[""jupiter""]",jupiter,wrong,True,True,YES,,0.40740740740740744,0.5095318264029893,0.30151134457776363,0.6040102409126129,0.4193818741428229,,,,SILENCE,SILENCE,,,SILENCE
q003,0.41999999999999998,What is the largest planet in our solar system?,"[""Jupiter""]",Jupiter.,Jupiter.,Jupiter.,"[""jupiter""]",jupiter,correct,False,False,YES,,0.40740740740740744,0.5095318264029893,0.30151134457776363,0.6040102409126129,0.4193818741428229,,,,SILENCE,PROCEED,,,PROCEED
q003,0.42999999999999999,What is the largest planet in our solar system?,"[""Jupiter""]",Jupiter.,Jupiter.,Jupiter.,"[""jupiter""]",jupiter,correct,False,False,YES,,0.40740740740740744,0.5095318264029893,0.30151134457776363,0.6040102409126129,0.4193818741428229,,,,SILENCE,PROCEED,,,PROCEED
q004,0.34999999999999998,What is the chemical symbol for water?,"[""H2O""]","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","[""h2o""]",the chemical formula for water is h2o 2 hydrogen atoms and 1 oxygen atom water is a compound not an element so it does not have a single chemical symbol like elements do,wrong,True,True,YES,,0.3650793650793651,0.6666666666666667,0.5238095238095238,0.5714285714285714,0.419047619047619,,,,SILENCE,SILENCE,,,SILENCE
q004,0.39000000000000001,What is the chemical symbol for water?,"[""H2O""]","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","[""h2o""]",the chemical formula for water is h2o 2 hydrogen atoms and 1 oxygen atom water is a compound not an element so it does not have a single chemical symbol like elements do,wrong,True,True,YES,,0.3650793650793651,0.6666666666666667,0.5238095238095238,0.5714285714285714,0.419047619047619,,,,SILENCE,SILENCE,,,SILENCE
q004,0.41999999999999998,What is the chemical symbol for water?,"[""H2O""]","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","[""h2o""]",the chemical formula for water is h2o 2 hydrogen atoms and 1 oxygen atom water is a compound not an element so it does not have a single chemical symbol like elements do,correct,False,False,YES,,0.3650793650793651,0.6666666666666667,0.5238095238095238,0.5714285714285714,0.419047619047619,,,,SILENCE,PROCEED,,,PROCEED
q004,0.42999999999999999,What is the chemical symbol for water?,"[""H2O""]","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","[""h2o""]",the chemical formula for water is h2o 2 hydrogen atoms and 1 oxygen atom water is a compound not an element so it does not have a single chemical symbol like elements do,correct,False,False,YES,,0.3650793650793651,0.6666666666666667,0.5238095238095238,0.5714285714285714,0.419047619047619,,,,SILENCE,PROCEED,,,PROCEED
q005,0.34999999999999998,Who painted the Mona Lisa?,"[""Leonardo da Vinci""]",Leonardo da Vinci painted the Mona Lisa.,Leonardo da Vinci painted the Mona Lisa.,Leonardo da Vinci painted the Mona Lisa.,"[""leonardo da vinci""]",leonardo da vinci painted the mona lisa,correct,False,False,YES,,0.6666666666666666,0.3757094796853434,0.6761234037828133,0.34979303795126504,0.23991721518050602,,,,PROCEED,PROCEED,,,PROCEED
q005,0.39000000000000001,Who painted the Mona Lisa?,"[""Leonardo da Vinci""]",Leonardo da Vinci painted the Mona Lisa.,Leonardo da Vinci painted the Mona Lisa.,Leonardo da Vinci painted the Mona Lisa.,"[""leonardo da vinci""]",leonardo da vinci painted the mona lisa,correct,False,False,YES,,0.6666666666666666,0.3757094796853434,0.6761234037828133,0.34979303795126504,0.23991721518050602,,,,PROCEED,PROCEED,,,PROCEED
q005,0.41999999999999998,Who painted the Mona Lisa?,"[""Leonardo da Vinci""]",Leonardo da Vinci painted the Mona Lisa.,Leonardo da Vinci painted the Mona Lisa.,Leonardo da Vinci painted the Mona Lisa.,"[""leonardo da vinci""]",leonardo da vinci painted the mona lisa,correct,False,False,YES,,0.6666666666666666,0.3757094796853434,0.6761234037828133,0.34979303795126504,0.23991721518050602,,,,PROCEED,PROCEED,,,PROCEED
q005,0.42999999999999999,Who painted the Mona Lisa?,"[""Leonardo da Vinci""]",Leonardo da Vinci painted the Mona Lisa.,Leonardo da Vinci painted the Mona Lisa.,Leonardo da Vinci painted the Mona Lisa.,"[""leonardo da vinci""]",leonardo da vinci painted the mona lisa,correct,False,False,YES,,0.6666666666666666,0.3757094796853434,0.6761234037828133,0.34979303795126504,0.23991721518050602,,,,PROCEED,PROCEED,,,PROCEED
q006,0.34999999999999998,In which year did the first man land on the Moon?,"[""1969""]",1969,1969,1969,"[""1969""]",1969,wrong,True,True,YES,,0.5555555555555555,0.2817664872069162,0.0,0.6408832436034582,0.38968663077471666,,,,SILENCE,SILENCE,,,SILENCE
q006,0.39000000000000001,In which year did the first man land on the Moon?,"[""1969""]",1969,1969,1969,"[""1969""]",1969,correct,False,False,YES,,0.5555555555555555,0.2817664872069162,0.0,0.6408832436034582,0.38968663077471666,,,,SILENCE,PROCEED,,,PROCEED
q006,0.41999999999999998,In which year did the first man land on the Moon?,"[""1969""]",1969,1969,1969,"[""1969""]",1969,correct,False,False,YES,,0.5555555555555555,0.2817664872069162,0.0,0.6408832436034582,0.38968663077471666,,,,SILENCE,PROCEED,,,PROCEED
q006,0.42999999999999999,In which year did the first man land on the Moon?,"[""1969""]",1969,1969,1969,"[""1969""]",1969,correct,False,False,YES,,0.5555555555555555,0.2817664872069162,0.0,0.6408832436034582,0.38968663077471666,,,,SILENCE,PROCEED,,,PROCEED
q007,0.34999999999999998,What is the tallest mountain in the world?,"[""Mount Everest""]","Mount Everest is the tallest mountain in the world, with a summit elevation of 8,848 meters (29,029 feet) above sea level. This measurement refers to height above sea level, the standard for ""tallest mountain."" (Note: Mauna Kea in Hawaii is taller from base to peak on Earth's surface but is not the tallest *above sea level*.)","Mount Everest is the tallest mountain in the world, with a summit elevation of 8,848 meters (29,029 feet) above sea level. This measurement refers to height above sea level, the standard for ""tallest mountain."" (Note: Mauna Kea in Hawaii is taller from base to peak on Earth's surface but is not the tallest *above sea level*.)","Mount Everest is the tallest mountain in the world, with a summit elevation of 8,848 meters (29,029 feet) above sea level. This measurement refers to height above sea level, the standard for ""tallest mountain."" (Note: Mauna Kea in Hawaii is taller from base to peak on Earth's surface but is not the tallest *above sea level*.)","[""mount everest""]",mount everest is the tallest mountain in the world with a summit elevation of 8 848 meters 29 029 feet above sea level this measurement refers to height above sea level the standard for tallest mountain note mauna kea in hawaii is taller from base to peak on earth s surface but is not the tallest above sea level,correct,False,False,YES,,0.36510263929618764,0.3366194537451229,0.5780059766913394,0.3793067385268918,0.34219190362190044,,,,SILENCE,PROCEED,,,PROCEED
q007,0.39000000000000001,What is the tallest mountain in the world?,"[""Mount Everest""]","Mount Everest is the tallest mountain in the world, with a summit elevation of 8,848 meters (29,029 feet) above sea level. This measurement refers to height above sea level, the standard for ""tallest mountain."" (Note: Mauna Kea in Hawaii is taller from base to peak on Earth's surface but is not the tallest *above sea level*.)","Mount Everest is the tallest mountain in the world, with a summit elevation of 8,848 meters (29,029 feet) above sea level. This measurement refers to height above sea level, the standard for ""tallest mountain."" (Note: Mauna Kea in Hawaii is taller from base to peak on Earth's surface but is not the tallest *above sea level*.)","Mount Everest is the tallest mountain in the world, with a summit elevation of 8,848 meters (29,029 feet) above sea level. This measurement refers to height above sea level, the standard for ""tallest mountain."" (Note: Mauna Kea in Hawaii is taller from base to peak on Earth's surface but is not the tallest *above sea level*.)","[""mount everest""]",mount everest is the tallest mountain in the world with a summit elevation of 8 848 meters 29 029 feet above sea level this measurement refers to height above sea level the standard for tallest mountain note mauna kea in hawaii is taller from base to peak on earth s surface but is not the tallest above sea level,correct,False,False,YES,,0.36510263929618764,0.3366194537451229,0.5780059766913394,0.3793067385268918,0.34219190362190044,,,,PROCEED,PROCEED,,,PROCEED
q007,0.41999999999999998,What is the tallest mountain in the world?,"[""Mount Everest""]","Mount Everest is the tallest mountain in the world, with a summit elevation of 8,848 meters (29,029 feet) above sea level. This measurement refers to height above sea level, the standard for ""tallest mountain."" (Note: Mauna Kea in Hawaii is taller from base to peak on Earth's surface but is not the tallest *above sea level*.)","Mount Everest is the tallest mountain in the world, with a summit elevation of 8,848 meters (29,029 feet) above sea level. This measurement refers to height above sea level, the standard for ""tallest mountain."" (Note: Mauna Kea in Hawaii is taller from base to peak on Earth's surface but is not the tallest *above sea level*.)","Mount Everest is the tallest mountain in the world, with a summit elevation of 8,848 meters (29,029 feet) above sea level. This measurement refers to height above sea level, the standard for ""tallest mountain."" (Note: Mauna Kea in Hawaii is taller from base to peak on Earth's surface but is not the tallest *above sea level*.)","[""mount everest""]",mount everest is the tallest mountain in the world with a summit elevation of 8 848 meters 29 029 feet above sea level this measurement refers to height above sea level the standard for tallest mountain note mauna kea in hawaii is taller from base to peak on earth s surface but is not the tallest above sea level,correct,False,False,YES,,0.36510263929618764,0.3366194537451229,0.5780059766913394,0.3793067385268918,0.34219190362190044,,,,PROCEED,PROCEED,,,PROCEED
q007,0.42999999999999999,What is the tallest mountain in the world?,"[""Mount Everest""]","Mount Everest is the tallest mountain in the world, with a summit elevation of 8,848 meters (29,029 feet) above sea level. This measurement refers to height above sea level, the standard for ""tallest mountain."" (Note: Mauna Kea in Hawaii is taller from base to peak on Earth's surface but is not the tallest *above sea level*.)","Mount Everest is the tallest mountain in the world, with a summit elevation of 8,848 meters (29,029 feet) above sea level. This measurement refers to height above sea level, the standard for ""tallest mountain."" (Note: Mauna Kea in Hawaii is taller from base to peak on Earth's surface but is not the tallest *above sea level*.)","Mount Everest is the tallest mountain in the world, with a summit elevation of 8,848 meters (29,029 feet) above sea level. This measurement refers to height above sea level, the standard for ""tallest mountain."" (Note: Mauna Kea in Hawaii is taller from base to peak on Earth's surface but is not the tallest *above sea level*.)","[""mount everest""]",mount everest is the tallest mountain in the world with a summit elevation of 8 848 meters 29 029 feet above sea level this measurement refers to height above sea level the standard for tallest mountain note mauna kea in hawaii is taller from base to peak on earth s surface but is not the tallest above sea level,correct,False,False,YES,,0.36510263929618764,0.3366194537451229,0.5780059766913394,0.3793067385268918,0.34219190362190044,,,,PROCEED,PROCEED,,,PROCEED
q008,0.34999999999999998,What is the smallest prime number?,"[""2""]","The smallest prime number is **2**. 

*(Note: 1 is not prime, as it has only one divisor.)*","The smallest prime number is **2**. 

*(Note: 1 is not prime, as it has only one divisor.)*","The smallest prime number is **2**. 

*(Note: 1 is not prime, as it has only one divisor.)*","[""2""]",the smallest prime number is 2 note 1 is not prime as it has only 1 divisor,correct,False,False,YES,,0.5757575757575758,0.12233561271484916,0.628539361054709,0.2468981258300701,0.2260319776047553,,,,PROCEED,PROCEED,,,PROCEED
q008,0.39000000000000001,What is the smallest prime number?,"[""2""]","The smallest prime number is **2**. 

*(Note: 1 is not prime, as it has only one divisor.)*","The smallest prime number is **2**. 

*(Note: 1 is not prime, as it has only one divisor.)*","The smallest prime number is **2**. 

*(Note: 1 is not prime, as it has only one divisor.)*","[""2""]",the smallest prime number is 2 note 1 is not prime as it has only 1 divisor,correct,False,False,YES,,0.5757575757575758,0.12233561271484916,0.628539361054709,0.2468981258300701,0.2260319776047553,,,,PROCEED,PROCEED,,,PROCEED
q008,0.41999999999999998,What is the smallest prime number?,"[""2""]","The smallest prime number is **2**. 

*(Note: 1 is not prime, as it has only one divisor.)*","The smallest prime number is **2**. 

*(Note: 1 is not prime, as it has only one divisor.)*","The smallest prime number is **2**. 

*(Note: 1 is not prime, as it has only one divisor.)*","[""2""]",the smallest prime number is 2 note 1 is not prime as it has only 1 divisor,correct,False,False,YES,,0.5757575757575758,0.12233561271484916,0.628539361054709,0.2468981258300701,0.2260319776047553,,,,PROCEED,PROCEED,,,PROCEED
q008,0.42999999999999999,What is the smallest prime number?,"[""2""]","The smallest prime number is **2**. 

*(Note: 1 is not prime, as it has only one divisor.)*","The smallest prime number is **2**. 

*(Note: 1 is not prime, as it has only one divisor.)*","The smallest prime number is **2**. 

*(Note: 1 is not prime, as it has only one divisor.)*","[""2""]",the smallest prime number is 2 note 1 is not prime as it has only 1 divisor,correct,False,False,YES,,0.5757575757575758,0.12233561271484916,0.628539361054709,0.2468981258300701,0.2260319776047553,,,,PROCEED,PROCEED,,,PROCEED
q009,0.34999999999999998,Who discovered penicillin?,"[""Alexander Fleming""]",Alexander Fleming discovered penicillin in 1928.,Alexander Fleming discovered penicillin in 1928.,Alexander Fleming discovered penicillin in 1928.,"[""alexander fleming""]",alexander fleming discovered penicillin in 1928,wrong,True,True,YES,,0.6,0.5446581987385204,0.3651483716701108,0.5897549135342048,0.3559019654136819,,,,SILENCE,SILENCE,,,SILENCE
q009,0.39000000000000001,Who discovered penicillin?,"[""Alexander Fleming""]",Alexander Fleming discovered penicillin in 1928.,Alexander Fleming discovered penicillin in 1928.,Alexander Fleming discovered penicillin in 1928.,"[""alexander fleming""]",alexander fleming discovered penicillin in 1928,correct,False,False,YES,,0.6,0.5446581987385204,0.3651483716701108,0.5897549135342048,0.3559019654136819,,,,SILENCE,PROCEED,,,PROCEED
q009,0.41999999999999998,Who discovered penicillin?,"[""Alexander Fleming""]",Alexander Fleming discovered penicillin in 1928.,Alexander Fleming discovered penicillin in 1928.,Alexander Fleming discovered penicillin in 1928.,"[""alexander fleming""]",alexander fleming discovered penicillin in 1928,correct,False,False,YES,,0.6,0.5446581987385204,0.3651483716701108,0.5897549135342048,0.3559019654136819,,,,SILENCE,PROCEED,,,PROCEED
q009,0.42999999999999999,Who discovered penicillin?,"[""Alexander Fleming""]",Alexander Fleming discovered penicillin in 1928.,Alexander Fleming discovered penicillin in 1928.,Alexander Fleming discovered penicillin in 1928.,"[""alexander fleming""]",alexander fleming discovered penicillin in 1928,correct,False,False,YES,,0.6,0.5446581987385204,0.3651483716701108,0.5897549135342048,0.3559019654136819,,,,SILENCE,PROCEED,,,PROCEED
q010,0.34999999999999998,What is the capital of Japan?,"[""Tokyo""]",Tokyo.,Tokyo.,Tokyo.,"[""tokyo""]",tokyo,correct,False,False,YES,,1.0,0.6666666666666667,0.0,0.8333333333333334,0.33333333333333337,,,,SILENCE,PROCEED,,,PROCEED
q010,0.39000000000000001,What is the capital of Japan?,"[""Tokyo""]",Tokyo.,Tokyo.,Tokyo.,"[""tokyo""]",tokyo,correct,False,False,YES,,1.0,0.6666666666666667,0.0,0.8333333333333334,0.33333333333333337,,,,SILENCE,PROCEED,,,PROCEED
q010,0.41999999999999998,What is the capital of Japan?,"[""Tokyo""]",Tokyo.,Tokyo.,Tokyo.,"[""tokyo""]",tokyo,correct,False,False,YES,,1.0,0.6666666666666667,0.0,0.8333333333333334,0.33333333333333337,,,,SILENCE,PROCEED,,,PROCEED
q010,0.42999999999999999,What is the capital of Japan?,"[""Tokyo""]",Tokyo.,Tokyo.,Tokyo.,"[""tokyo""]",tokyo,correct,False,False,YES,,1.0,0.6666666666666667,0.0,0.8333333333333334,0.33333333333333337,,,,SILENCE,PROCEED,,,PROCEED
q011,0.34999999999999998,Which element has the atomic number 1?,"[""Hydrogen""]",Hydrogen,Hydrogen,Hydrogen,"[""hydrogen""]",hydrogen,correct,False,False,YES,,1.0,0.0,0.3333333333333333,0.33333333333333337,0.13333333333333336,,,,PROCEED,PROCEED,,,PROCEED
q011,0.39000000000000001,Which element has the atomic number 1?,"[""Hydrogen""]",Hydrogen,Hydrogen,Hydrogen,"[""hydrogen""]",hydrogen,correct,False,False,YES,,1.0,0.0,0.3333333333333333,0.33333333333333337,0.13333333333333336,,,,PROCEED,PROCEED,,,PROCEED
q011,0.41999999999999998,Which element has the atomic number 1?,"[""Hydrogen""]",Hydrogen,Hydrogen,Hydrogen,"[""hydrogen""]",hydrogen,correct,False,False,YES,,1.0,0.0,0.3333333333333333,0.33333333333333337,0.13333333333333336,,,,PROCEED,PROCEED,,,PROCEED
q011,0.42999999999999999,Which element has the atomic number 1?,"[""Hydrogen""]",Hydrogen,Hydrogen,Hydrogen,"[""hydrogen""]",hydrogen,correct,False,False,YES,,1.0,0.0,0.3333333333333333,0.33333333333333337,0.13333333333333336,,,,PROCEED,PROCEED,,,PROCEED
q012,0.34999999999999998,Who wrote 'Pride and Prejudice'?,"[""Jane Austen""]",Jane Austen.,Jane Austen.,Jane Austen.,"[""jane austen""]",jane austen,correct,False,False,YES,,1.0,0.0,0.0,0.5,0.2,,,,SILENCE,PROCEED,,,PROCEED
q012,0.39000000000000001,Who wrote 'Pride and Prejudice'?,"[""Jane Austen""]",Jane Austen.,Jane Austen.,Jane Austen.,"[""jane austen""]",jane austen,correct,False,False,YES,,1.0,0.0,0.0,0.5,0.2,,,,SILENCE,PROCEED,,,PROCEED
q012,0.41999999999999998,Who wrote 'Pride and Prejudice'?,"[""Jane Austen""]",Jane Austen.,Jane Austen.,Jane Austen.,"[""jane austen""]",jane austen,correct,False,False,YES,,1.0,0.0,0.0,0.5,0.2,,,,SILENCE,PROCEED,,,PROCEED
q012,0.42999999999999999,Who wrote 'Pride and Prejudice'?,"[""Jane Austen""]",Jane Austen.,Jane Austen.,Jane Austen.,"[""jane austen""]",jane austen,correct,False,False,YES,,1.0,0.0,0.0,0.5,0.2,,,,SILENCE,PROCEED,,,PROCEED
q013,0.34999999999999998,What is the largest ocean on Earth?,"[""Pacific Ocean""]",The Pacific Ocean is the largest ocean on Earth by surface area.,The Pacific Ocean is the largest ocean on Earth by surface area.,The Pacific Ocean is the largest ocean on Earth by surface area.,"[""pacific ocean""]",the pacific ocean is the largest ocean on earth by surface area,correct,False,False,YES,,0.44145299145299144,0.19975164059940342,0.7715167498104597,0.21411744539447186,0.2532110807218913,,,,PROCEED,PROCEED,,,PROCEED
q013,0.39000000000000001,What is the largest ocean on Earth?,"[""Pacific Ocean""]",The Pacific Ocean is the largest ocean on Earth by surface area.,The Pacific Ocean is the largest ocean on Earth by surface area.,The Pacific Ocean is the largest ocean on Earth by surface area.,"[""pacific ocean""]",the pacific ocean is the largest ocean on earth by surface area,correct,False,False,YES,,0.44145299145299144,0.19975164059940342,0.7715167498104597,0.21411744539447186,0.2532110807218913,,,,PROCEED,PROCEED,,,PROCEED
q013,0.41999999999999998,What is the largest ocean on Earth?,"[""Pacific Ocean""]",The Pacific Ocean is the largest ocean on Earth by surface area.,The Pacific Ocean is the largest ocean on Earth by surface area.,The Pacific Ocean is the largest ocean on Earth by surface area.,"[""pacific ocean""]",the pacific ocean is the largest ocean on earth by surface area,correct,False,False,YES,,0.44145299145299144,0.19975164059940342,0.7715167498104597,0.21411744539447186,0.2532110807218913,,,,PROCEED,PROCEED,,,PROCEED
