example_id,question,reference_answers,baseline_answer,primary_candidate,final_answer_or_effective_answer,correctness_label,silence_flag,false_silence_flag,self_check_label,risk_v2_2,effective_decision
q003,What is the largest planet in our solar system?,"[""Jupiter""]",Jupiter.,Jupiter.,Jupiter.,wrong,True,True,YES,,SILENCE
q004,What is the chemical symbol for water?,"[""H2O""]","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.","The chemical formula for water is **H₂O** (two hydrogen atoms and one oxygen atom). Water is a compound, not an element, so it does not have a single chemical symbol like elements do.",wrong,True,True,YES,,SILENCE
q006,In which year did the first man land on the Moon?,"[""1969""]",1969,1969,1969,wrong,True,True,YES,,SILENCE
q009,Who discovered penicillin?,"[""Alexander Fleming""]",Alexander Fleming discovered penicillin in 1928.,Alexander Fleming discovered penicillin in 1928.,Alexander Fleming discovered penicillin in 1928.,wrong,True,True,YES,,SILENCE
q014,Who developed the theory of relativity?,"[""Albert Einstein""]",Albert Einstein.,Albert Einstein.,Albert Einstein.,wrong,True,True,YES,,SILENCE
q015,What currency is used in Germany?,"[""Euro""]",The euro (€).,The euro (€).,The euro (€).,wrong,True,True,YES,,SILENCE
q018,What is the hardest natural substance on Earth?,"[""Diamond""]",Diamond.,Diamond.,Diamond.,wrong,True,True,YES,,SILENCE
q027,Who wrote 'The Iliad' and 'The Odyssey'?,"[""Homer""]",Traditionally attributed to Homer.,Traditionally attributed to Homer.,Traditionally attributed to Homer.,wrong,True,True,YES,,SILENCE
q029,What is the square root of 64?,"[""8""]",8,8,8,wrong,True,True,YES,,SILENCE
q030,Who painted 'The Last Supper'?,"[""Leonardo da Vinci""]","Leonardo da Vinci. (The most famous version, painted c. 1495–1498, is in Milan's Convent of Santa Maria delle Grazie.)","Leonardo da Vinci. (The most famous version, painted c. 1495–1498, is in Milan's Convent of Santa Maria delle Grazie.)","Leonardo da Vinci. (The most famous version, painted c. 1495–1498, is in Milan's Convent of Santa Maria delle Grazie.)",wrong,True,True,YES,,SILENCE
q031,What is the main gas found in the air we breathe?,"[""Nitrogen""]",Nitrogen (about 78%).,Nitrogen (about 78%).,Nitrogen (about 78%).,wrong,True,True,YES,,SILENCE
q042,What is the longest river in the world?,"[""Nile""]","The Nile River is generally accepted as the longest river in the world, with a length of approximately 6,650 km (4,130 miles). While measurements vary slightly depending on the source and methodology, the Nile holds this title by most authoritative sources, including the United Nations and the International Hydrographic Organization.","The Nile River is generally accepted as the longest river in the world, with a length of approximately 6,650 km (4,130 miles). While measurements vary slightly depending on the source and methodology, the Nile holds this title by most authoritative sources, including the United Nations and the International Hydrographic Organization.","The Nile River is generally accepted as the longest river in the world, with a length of approximately 6,650 km (4,130 miles). While measurements vary slightly depending on the source and methodology, the Nile holds this title by most authoritative sources, including the United Nations and the International Hydrographic Organization.",wrong,True,True,UNSURE,,SILENCE
q045,What is the capital of India?,"[""New Delhi""]",New Delhi.,New Delhi.,New Delhi.,wrong,True,True,YES,,SILENCE
q047,Who painted the ceiling of the Sistine Chapel?,"[""Michelangelo""]",Michelangelo.,Michelangelo.,Michelangelo.,wrong,True,True,YES,,SILENCE
q051,Who wrote 'To Kill a Mockingbird'?,"[""Harper Lee""]",Harper Lee.,Harper Lee.,Harper Lee.,wrong,True,True,YES,,SILENCE
q054,What is the capital of Brazil?,"[""Brasília""]",Brasília. (Note: Rio de Janeiro is Brazil's largest city but not the capital.),Brasília. (Note: Rio de Janeiro is Brazil's largest city but not the capital.),Brasília. (Note: Rio de Janeiro is Brazil's largest city but not the capital.),wrong,True,True,YES,,SILENCE
q062,What is the chemical formula for carbon dioxide?,"[""CO2""]",CO₂,CO₂,CO₂,wrong,True,True,YES,,SILENCE
q064,Who discovered electricity?,"[""Benjamin Franklin""]","Electricity was not ""discovered"" by a single person—it is a fundamental natural phenomenon observed since ancient times (e.g., static electricity with amber around 600 BCE). Key figures like **Benjamin Franklin** (1740s–1750s) made pivotal contributions (e.g., lightning experiments), but electricity's understanding evolved over centuries through many scientists. There is no single discoverer.","Electricity was not ""discovered"" by a single person—it is a fundamental natural phenomenon observed since ancient times (e.g., static electricity with amber around 600 BCE). Key figures like **Benjamin Franklin** (1740s–1750s) made pivotal contributions (e.g., lightning experiments), but electricity's understanding evolved over centuries through many scientists. There is no single discoverer.","Electricity was not ""discovered"" by a single person—it is a fundamental natural phenomenon observed since ancient times (e.g., static electricity with amber around 600 BCE). Key figures like **Benjamin Franklin** (1740s–1750s) made pivotal contributions (e.g., lightning experiments), but electricity's understanding evolved over centuries through many scientists. There is no single discoverer.",wrong,True,True,YES,,SILENCE
q065,What is the smallest continent?,"[""Australia""]","Australia is the smallest continent by land area, with approximately 8.7 million square kilometers.","Australia is the smallest continent by land area, with approximately 8.7 million square kilometers.","Australia is the smallest continent by land area, with approximately 8.7 million square kilometers.",wrong,True,True,NO,,SILENCE
q069,What is the chemical symbol for potassium?,"[""K""]",The chemical symbol for potassium is **K** (from its Latin name *kalium*).,The chemical symbol for potassium is **K** (from its Latin name *kalium*).,The chemical symbol for potassium is **K** (from its Latin name *kalium*).,wrong,True,True,YES,,SILENCE
