example_id,question,reference_answers,baseline_answer,primary_candidate,final_answer_or_effective_answer,correctness_label,silence_flag,false_silence_flag,self_check_label,risk_v2_2,effective_decision
q004,Which city serves as Canada's federal capital?,"[""Ottawa""]",The city that serves as Canada's federal capital is Ottawa.,The city that serves as Canada's federal capital is Ottawa.,The city that serves as Canada's federal capital is Ottawa.,wrong,True,True,YES,,SILENCE
q005,The capital of Brazil is which city?,"[""Brasília"", ""Brasilia""]",The capital of Brazil is Brasília. It was chosen as the new national capital in 1960 after a referendum by the Brazilian government.,The capital of Brazil is Brasília. It was chosen as the new national capital in 1960 after a referendum by the Brazilian government.,The capital of Brazil is Brasília. It was chosen as the new national capital in 1960 after a referendum by the Brazilian government.,wrong,True,True,UNSURE,,SILENCE
q020,What is the formula for ammonia?,"[""NH3""]",The formula for ammonia (NH₃) is NH₂⁻ + H₂O.,The formula for ammonia (NH₃) is NH₂⁻ + H₂O.,The formula for ammonia (NH₃) is NH₂⁻ + H₂O.,wrong,True,True,NO,,SILENCE
q022,How many days are in a leap year?,"[""366"", ""three hundred sixty-six""]","A leap year has 366 days, which is equivalent to 365 days plus one extra day. This extra day is called the ""leap day"" or ""additional day."" Leap years occur every four years and have the following characteristics:

1. The number of days in February must be divisible by 4.
2. If a year is not divisible by 4, it is a common year.

In a leap year:
- February has 29 days (leap day)
- All other months have 30 or 31 days

Leap years occur every four years and are typically observed in the Gregorian calendar.","A leap year has 366 days, which is equivalent to 365 days plus one extra day. This extra day is called the ""leap day"" or ""additional day."" Leap years occur every four years and have the following characteristics:

1. The number of days in February must be divisible by 4.
2. If a year is not divisible by 4, it is a common year.

In a leap year:
- February has 29 days (leap day)
- All other months have 30 or 31 days

Leap years occur every four years and are typically observed in the Gregorian calendar.","A leap year has 366 days, which is equivalent to 365 days plus one extra day. This extra day is called the ""leap day"" or ""additional day."" Leap years occur every four years and have the following characteristics:

1. The number of days in February must be divisible by 4.
2. If a year is not divisible by 4, it is a common year.

In a leap year:
- February has 29 days (leap day)
- All other months have 30 or 31 days

Leap years occur every four years and are typically observed in the Gregorian calendar.",wrong,True,True,UNSURE,,SILENCE
q026,How many players are on the field per soccer team during normal play?,"[""11"", ""eleven""]","During normal play in soccer (soccer), each player is typically positioned on the field with one foot on the ground and the other foot resting on a bench or a specific part of the goal line. This setup allows for quick movement, positioning, and playing time for players. The exact number can vary depending on the team's size and the specific rules governing their formation.","During normal play in soccer (soccer), each player is typically positioned on the field with one foot on the ground and the other foot resting on a bench or a specific part of the goal line. This setup allows for quick movement, positioning, and playing time for players. The exact number can vary depending on the team's size and the specific rules governing their formation.","During normal play in soccer (soccer), each player is typically positioned on the field with one foot on the ground and the other foot resting on a bench or a specific part of the goal line. This setup allows for quick movement, positioning, and playing time for players. The exact number can vary depending on the team's size and the specific rules governing their formation.",wrong,False,False,YES,,PROCEED
q027,How many minutes are in three hours?,"[""180"", ""one hundred eighty""]",There are 180 minutes in three hours.,There are 180 minutes in three hours.,There are 180 minutes in three hours.,wrong,True,True,UNSURE,,SILENCE
q028,What is 12 multiplied by 12?,"[""144"", ""one hundred forty-four""]",12 multiplied by 12 equals 144.,12 multiplied by 12 equals 144.,12 multiplied by 12 equals 144.,wrong,True,True,NO,,SILENCE
q030,What is the square root of 81?,"[""9"", ""nine""]",The square root of 81 is 9.,The square root of 81 is 9.,The square root of 81 is 9.,wrong,True,True,NO,,SILENCE
q031,Who wrote the novel 'Pride and Prejudice'?,"[""Jane Austen""]","The novel ""Pride and Prejudice"" was written by Jane Austen.","The novel ""Pride and Prejudice"" was written by Jane Austen.","The novel ""Pride and Prejudice"" was written by Jane Austen.",wrong,True,True,YES,,SILENCE
q032,Who is the author of '1984'?,"[""George Orwell""]","The author of ""1984"" (also known as ""A Vision for the Future"") is George Orwell. He was a British novelist who wrote under the pseudonym Eric Arthur Blair.","The author of ""1984"" (also known as ""A Vision for the Future"") is George Orwell. He was a British novelist who wrote under the pseudonym Eric Arthur Blair.","The author of ""1984"" (also known as ""A Vision for the Future"") is George Orwell. He was a British novelist who wrote under the pseudonym Eric Arthur Blair.",wrong,True,True,YES,,SILENCE
q033,Who wrote 'The Catcher in the Rye'?,"[""J. D. Salinger"", ""JD Salinger"", ""J.D. Salinger""]","'The Catcher in the Rye' was written by J.D. Salinger. This novel is one of his most famous works and has been widely read and studied throughout the years. The book was published in 1951, making it a significant part of American literature history.","'The Catcher in the Rye' was written by J.D. Salinger. This novel is one of his most famous works and has been widely read and studied throughout the years. The book was published in 1951, making it a significant part of American literature history.","'The Catcher in the Rye' was written by J.D. Salinger. This novel is one of his most famous works and has been widely read and studied throughout the years. The book was published in 1951, making it a significant part of American literature history.",wrong,True,True,YES,,SILENCE
q034,Who wrote 'The Odyssey'?,"[""Homer""]",'The Odyssey' was written by the ancient Greek poet Homer.,'The Odyssey' was written by the ancient Greek poet Homer.,'The Odyssey' was written by the ancient Greek poet Homer.,wrong,True,True,YES,,SILENCE
q036,Who authored 'To Kill a Mockingbird'?,"[""Harper Lee""]",'To Kill a Mockingbird' was written by Harper Lee. She is an American author known for her novel that explores themes of racial injustice in the South during the 1930s and 1940s. The book was first published in 1960 and has since become one of the most widely read novels in the United States.,'To Kill a Mockingbird' was written by Harper Lee. She is an American author known for her novel that explores themes of racial injustice in the South during the 1930s and 1940s. The book was first published in 1960 and has since become one of the most widely read novels in the United States.,'To Kill a Mockingbird' was written by Harper Lee. She is an American author known for her novel that explores themes of racial injustice in the South during the 1930s and 1940s. The book was first published in 1960 and has since become one of the most widely read novels in the United States.,wrong,True,True,YES,,SILENCE
q037,Who wrote 'The Great Gatsby'?,"[""F. Scott Fitzgerald"", ""F Scott Fitzgerald""]",'The Great Gatsby' was written by F. Scott Fitzgerald.,'The Great Gatsby' was written by F. Scott Fitzgerald.,'The Great Gatsby' was written by F. Scott Fitzgerald.,wrong,True,True,YES,,SILENCE
q040,Who wrote 'Don Quixote'?,"[""Miguel de Cervantes"", ""Cervantes""]",'Don Quixote' was written by Miguel de Cervantes Saavedra. He lived from 1547 to 1616 and is considered one of the greatest Spanish novelists of all time.,'Don Quixote' was written by Miguel de Cervantes Saavedra. He lived from 1547 to 1616 and is considered one of the greatest Spanish novelists of all time.,'Don Quixote' was written by Miguel de Cervantes Saavedra. He lived from 1547 to 1616 and is considered one of the greatest Spanish novelists of all time.,wrong,True,True,YES,,SILENCE
q043,What year did the first human land on the Moon?,"[""1969""]",The first human landing on the Moon was accomplished by the Apollo 11 mission in July 1969. This mission marked a significant milestone in space exploration as it brought humans back to Earth after traveling more than 240 million miles (385 million kilometers) from Earth's surface.,The first human landing on the Moon was accomplished by the Apollo 11 mission in July 1969. This mission marked a significant milestone in space exploration as it brought humans back to Earth after traveling more than 240 million miles (385 million kilometers) from Earth's surface.,The first human landing on the Moon was accomplished by the Apollo 11 mission in July 1969. This mission marked a significant milestone in space exploration as it brought humans back to Earth after traveling more than 240 million miles (385 million kilometers) from Earth's surface.,wrong,True,True,UNSURE,,SILENCE
q047,What year did the American Civil War begin?,"[""1861""]","The American Civil War began in 1861. This conflict was fought between the Union (states aligned with the United States) and the Confederacy (states aligned with the Confederate states). It lasted from April 12, 1861, to May 9, 1865, and ended with the surrender of Confederate General Robert E. Lee on April 9, 1865.","The American Civil War began in 1861. This conflict was fought between the Union (states aligned with the United States) and the Confederacy (states aligned with the Confederate states). It lasted from April 12, 1861, to May 9, 1865, and ended with the surrender of Confederate General Robert E. Lee on April 9, 1865.","The American Civil War began in 1861. This conflict was fought between the Union (states aligned with the United States) and the Confederacy (states aligned with the Confederate states). It lasted from April 12, 1861, to May 9, 1865, and ended with the surrender of Confederate General Robert E. Lee on April 9, 1865.",wrong,True,True,NO,,SILENCE
q048,In what year did the French Revolution begin?,"[""1789""]",The French Revolution began in 1789. This occurred after the fall of the monarchy and the rise of Napoleon Bonaparte as emperor of France.,The French Revolution began in 1789. This occurred after the fall of the monarchy and the rise of Napoleon Bonaparte as emperor of France.,The French Revolution began in 1789. This occurred after the fall of the monarchy and the rise of Napoleon Bonaparte as emperor of France.,wrong,True,True,UNSURE,,SILENCE
q054,How many planets are in the solar system?,"[""8"", ""eight""]","There are 89 known planets in our solar system. These include:

1. Mercury
2. Venus
3. Earth
4. Mars
5. Jupiter
6. Saturn
7. Uranus
8. Neptune

The remaining 78 planets are gas giants, dwarf planets, and other minor planets that orbit the Sun but do not have moons or known characteristics as planets.","There are 89 known planets in our solar system. These include:

1. Mercury
2. Venus
3. Earth
4. Mars
5. Jupiter
6. Saturn
7. Uranus
8. Neptune

The remaining 78 planets are gas giants, dwarf planets, and other minor planets that orbit the Sun but do not have moons or known characteristics as planets.","There are 89 known planets in our solar system. These include:

1. Mercury
2. Venus
3. Earth
4. Mars
5. Jupiter
6. Saturn
7. Uranus
8. Neptune

The remaining 78 planets are gas giants, dwarf planets, and other minor planets that orbit the Sun but do not have moons or known characteristics as planets.",wrong,True,True,NO,,SILENCE
q057,What is the Sun primarily made of?,"[""hydrogen""]","The Sun is primarily composed of hydrogen and helium, with small amounts of other elements like carbon, oxygen, iron, and magnesium.","The Sun is primarily composed of hydrogen and helium, with small amounts of other elements like carbon, oxygen, iron, and magnesium.","The Sun is primarily composed of hydrogen and helium, with small amounts of other elements like carbon, oxygen, iron, and magnesium.",wrong,True,True,NO,,SILENCE
q064,What pigment gives most plants their green color?,"[""chlorophyll""]","Plants typically have chlorophyll, which is the primary pigment responsible for their green color. Chlorophyll absorbs sunlight and uses it to convert water and carbon dioxide into oxygen and glucose, providing energy for photosynthesis. Other pigments like carotenoids are also present in plants but play a smaller role compared to chlorophyll in green coloration.","Plants typically have chlorophyll, which is the primary pigment responsible for their green color. Chlorophyll absorbs sunlight and uses it to convert water and carbon dioxide into oxygen and glucose, providing energy for photosynthesis. Other pigments like carotenoids are also present in plants but play a smaller role compared to chlorophyll in green coloration.","Plants typically have chlorophyll, which is the primary pigment responsible for their green color. Chlorophyll absorbs sunlight and uses it to convert water and carbon dioxide into oxygen and glucose, providing energy for photosynthesis. Other pigments like carotenoids are also present in plants but play a smaller role compared to chlorophyll in green coloration.",wrong,True,True,NO,,SILENCE
q065,What is the powerhouse organelle of the cell?,"[""mitochondrion"", ""mitochondria""]","The powerhouse organelles of the cell are the mitochondria. These organelles are responsible for producing energy in the form of ATP (adenosine triphosphate). They contain enzymes that catalyze biochemical reactions, allowing cells to convert nutrients into usable forms of energy.","The powerhouse organelles of the cell are the mitochondria. These organelles are responsible for producing energy in the form of ATP (adenosine triphosphate). They contain enzymes that catalyze biochemical reactions, allowing cells to convert nutrients into usable forms of energy.","The powerhouse organelles of the cell are the mitochondria. These organelles are responsible for producing energy in the form of ATP (adenosine triphosphate). They contain enzymes that catalyze biochemical reactions, allowing cells to convert nutrients into usable forms of energy.",wrong,True,True,YES,,SILENCE
q066,What is the largest organ in the human body by surface area?,"[""skin"", ""the skin""]","The largest organ in the human body by surface area is the liver, which has an estimated surface area of about 250 square meters (approximately 1,000 square feet).","The largest organ in the human body by surface area is the liver, which has an estimated surface area of about 250 square meters (approximately 1,000 square feet).","The largest organ in the human body by surface area is the liver, which has an estimated surface area of about 250 square meters (approximately 1,000 square feet).",wrong,False,False,YES,,PROCEED
q067,Which blood type is known as the universal donor for red cells?,"[""O negative"", ""O-""]",The blood type known as the universal donor for red cells is the ABO blood group system.,The blood type known as the universal donor for red cells is the ABO blood group system.,The blood type known as the universal donor for red cells is the ABO blood group system.,wrong,False,False,YES,,PROCEED
q068,What is the process by which plants make food using sunlight?,"[""photosynthesis""]","Plants use photosynthesis to make their own food using sunlight. During this process, they convert light energy into chemical energy stored in glucose or other organic compounds. The plant then uses these stored nutrients for growth and development.","Plants use photosynthesis to make their own food using sunlight. During this process, they convert light energy into chemical energy stored in glucose or other organic compounds. The plant then uses these stored nutrients for growth and development.","Plants use photosynthesis to make their own food using sunlight. During this process, they convert light energy into chemical energy stored in glucose or other organic compounds. The plant then uses these stored nutrients for growth and development.",wrong,True,True,YES,,SILENCE
q072,What does HTTPS stand for?,"[""Hypertext Transfer Protocol Secure""]",HTTPS stands for Hypertext Transfer Protocol Secure. It is an encryption protocol that ensures secure communication between a user's browser and websites by encrypting data transmitted over the internet. This makes it more difficult for hackers to intercept or eavesdrop on sensitive information during transactions.,HTTPS stands for Hypertext Transfer Protocol Secure. It is an encryption protocol that ensures secure communication between a user's browser and websites by encrypting data transmitted over the internet. This makes it more difficult for hackers to intercept or eavesdrop on sensitive information during transactions.,HTTPS stands for Hypertext Transfer Protocol Secure. It is an encryption protocol that ensures secure communication between a user's browser and websites by encrypting data transmitted over the internet. This makes it more difficult for hackers to intercept or eavesdrop on sensitive information during transactions.,wrong,True,True,YES,,SILENCE
q073,What does CPU stand for?,"[""Central Processing Unit""]","CPU stands for ""Central Processing Unit."" It is the brain of a computer or processor, responsible for executing instructions and performing calculations.","CPU stands for ""Central Processing Unit."" It is the brain of a computer or processor, responsible for executing instructions and performing calculations.","CPU stands for ""Central Processing Unit."" It is the brain of a computer or processor, responsible for executing instructions and performing calculations.",wrong,True,True,YES,,SILENCE
q074,What does GPU stand for?,"[""Graphics Processing Unit""]","GPU stands for ""Graphics Processing Unit."" It is a type of processing unit used in computers that can perform complex mathematical calculations and image processing tasks more efficiently than traditional CPUs. GPUs are commonly found in high-end gaming consoles like the PlayStation 4, Xbox One, and newer models of the Xbox, as well as in many modern desktops and laptops equipped with powerful processors.","GPU stands for ""Graphics Processing Unit."" It is a type of processing unit used in computers that can perform complex mathematical calculations and image processing tasks more efficiently than traditional CPUs. GPUs are commonly found in high-end gaming consoles like the PlayStation 4, Xbox One, and newer models of the Xbox, as well as in many modern desktops and laptops equipped with powerful processors.","GPU stands for ""Graphics Processing Unit."" It is a type of processing unit used in computers that can perform complex mathematical calculations and image processing tasks more efficiently than traditional CPUs. GPUs are commonly found in high-end gaming consoles like the PlayStation 4, Xbox One, and newer models of the Xbox, as well as in many modern desktops and laptops equipped with powerful processors.",wrong,True,True,YES,,SILENCE
